District,Area,Post Code,Charge(1kg),Charge(2kg),Charge(3kg),,
Dhaka,Salimullah Road(Mohammadpur),1207,69,84,99,,
Dhaka,Dhanmondi - Road 3,1209,69,84,99,,
Dhaka,Gulshan-1 Road-1,1212,69,84,99,,
Dhaka,Kallyanpur(Dhaka),1216,69,84,99,,
Dhaka,Shyamoli(Dhaka),1207,69,84,99,,
Dhaka,Adabor(Mohammadpur),1207,69,84,99,,
Dhaka,Darussalam (Technical-Kallayanpur),1216,69,84,99,,
Dhaka,Gabtoli (Dhaka),1216,69,84,99,,
Dhaka,Pallabi(Mirpur-12),1216,69,84,99,,
Dhaka,Lalmatia(Dhaka),1207,69,84,99,,
Dhaka,Mirpur DOHS(Mirpur-12),1216,69,84,99,,
Dhaka,Kochukhet(Mirpur 14),1206,69,84,99,,
Dhaka,Gudaraghat (Badda Link Road),1212,69,84,99,,
Dhaka,Agargaon(Dhaka),1216,69,84,99,,
Dhaka,Monipur(60-feet),1216,69,84,99,,
Dhaka,Sher-e-Bangla Agricultural University,1205,69,84,99,,
Dhaka,Ibrahimpur(Mirpur 14),1206,69,84,99,,
Dhaka,Kakoli(Banani),1212,69,84,99,,
Dhaka,Balughat Bazar Road(Mirpur),1216,69,84,99,,
Dhaka,North Kafrul(Mirpur),1206,69,84,99,,
Dhaka,Vashantek(Mirpur),1206,69,84,99,,
Dhaka,Manikdi(Vasantek-Mirpur),1216,69,84,99,,
Dhaka,Matikata(Mirpur),1216,69,84,99,,
Dhaka,Bangladesh Army Headquerters(Dhaka Cantonment),1212,69,84,99,,
Dhaka,Rupnagar Residential(Mirpur 7),1216,69,84,99,,
Dhaka,Duaripara-Pallabi(Mirpur 12),1216,69,84,99,,
Dhaka,Dhaka Dental College(Mirpur 14),1216,69,84,99,,
Dhaka,Bagbari (Dhaka),1216,69,84,99,,
Dhaka,Mazar Road (Mirpur),1216,69,84,99,,
Dhaka,Shagufta(Mirpur),1216,69,84,99,,
Dhaka,Bawnia Bazar(Uttara),1230,69,84,99,,
Dhaka,Baigertek-ECB(Mirpur),1216,69,84,99,,
Dhaka,Madina nagar(Mirpur 11),1216,69,84,99,,
Dhaka,Chuti Ghor Road (Nikunjo-Khilkhet),1229,69,84,99,,
Dhaka,Mastertek-Manikdi(Mirpur),1216,69,84,99,,
Dhaka,Balughat(Mirpur),1216,69,84,99,,
Dhaka,Barontek-Balughat(Mirpur),1216,69,84,99,,
Dhaka,Golartek(Mirpur),1216,69,84,99,,
Dhaka,Uttar Para (Khilkhet),1229,69,84,99,,
Dhaka,Shewra (Kuril-Dhaka),1229,69,84,99,,
Dhaka,Ainusbag(Dakshinkhan),1230,69,84,99,,
Dhaka,Uttarkhan(Dhaka),1230,69,84,99,,
Dhaka,Dakshinkhan(Dhaka),1230,69,84,99,,
Dhaka,TIC Colony(Uttara Sector-6),1230,69,84,99,,
Dhaka,Askona(Dhaka),1230,69,84,99,,
Dhaka,Tolna (Khikhet),1229,69,84,99,,
Dhaka,Moddho Para (Khilkhet),1229,69,84,99,,
Dhaka,Nikunja(Dhaka),1229,69,84,99,,
Dhaka,Moddhopara(Dakshinkhan),1230,69,84,99,,
Dhaka,Hajipara (Rampura),1219,69,84,99,,
Dhaka,Kawla(Dhaka),1230,69,84,99,,
Dhaka,Naddapara (Dakshinkhan),1230,69,84,99,,
Dhaka,Bashundhara R/A (Basundhara),1229,69,84,99,,
Dhaka,Dorji Bari (Khilkhet),1229,69,84,99,,
Dhaka,Nadda (Baridhara),1229,69,84,99,,
Dhaka,Baridhara Diplomatic Zone,1212,69,84,99,,
Dhaka,Baridhara DOHS,1212,69,84,99,,
Dhaka,Notun Bazar (Vatara),1229,69,84,99,,
Dhaka,Adarsha Nagar (Middle Badda),1212,69,84,99,,
Dhaka,Jhilpar (Shahajadpur),1212,69,84,99,,
Dhaka,Uttor Badda,1212,69,84,99,,
Dhaka,Middle Badda,1212,69,84,99,,
Dhaka,South Badda,1212,69,84,99,,
Dhaka,Merul Badda,1212,69,84,99,,
Dhaka,Niketon(Gulshan),1212,69,84,99,,
Dhaka,Banani Block A,1213,69,84,99,,
Dhaka,Banani DOHS,1213,69,84,99,,
Dhaka,Orion More(Tejgaon),1212,69,84,99,,
Dhaka,Mohakhali DOHS,1212,69,84,99,,
Dhaka,South Monipur(60-feet),1216,69,84,99,,
Dhaka,Shah ali bagh(Mirpur-1),1216,69,84,99,,
Dhaka,GMG More(Tejgaon),1212,69,84,99,,
Dhaka,Bashtola(Natun Bazar),1229,69,84,99,,
Dhaka,DIT Project (Merul Badda),1212,69,84,99,,
Dhaka,Aftabnagar(Dhaka),1212,69,84,99,,
Dhaka,Bijoy Shoroni(Dhaka),1215,69,84,99,,
Dhaka,Farmgate(Dhaka),1215,69,84,99,,
Dhaka,Indira Road(Firmgate),1215,69,84,99,,
Dhaka,Love Road (Tejgoan),1208,69,84,99,,
Dhaka,Tejkunipara(Farmgate),1215,69,84,99,,
Dhaka,Razabazar(Farmgate),1215,69,84,99,,
Dhaka,Sukrabad(Dhanmondi),1215,69,84,99,,
Dhaka,Panthopath(Dhaka),1205,69,84,99,,
Dhaka,Kalabagan(Dhaka),1205,69,84,99,,
Dhaka,Green Road(Dhaka),1205,69,84,99,,
Dhaka,Manik Mia Avenue(Dhaka),1225,69,84,99,,
Dhaka,Asad Avenue(Dhaka),1207,69,84,99,,
Dhaka,Jigatola(Dhanmondi),1209,69,84,99,,
Dhaka,Shankar (West Dhanmondi),1209,69,84,99,,
Dhaka,Rayer Bazar(Mohammadpur),1209,69,84,99,,
Dhaka,Tallabag(Dhanmondi),1209,69,84,99,,
