district,area,post_code,charge,,
Dhaka,Salimullah Road(Mohammadpur),1207,69,,
Dhaka,Dhanmondi - Road 3,1209,69,,
Dhaka,Gulshan-1 Road-1,1212,69,,
Dhaka,Kallyanpur(Dhaka),1216,69,,
Dhaka,Shyamoli(Dhaka),1207,69,,
Dhaka,Adabor(Mohammadpur),1207,69,,
Dhaka,Darussalam (Technical-Kallayanpur),1216,69,,
Dhaka,Gabtoli (Dhaka),1216,69,,
Dhaka,Pallabi(Mirpur-12),1216,69,,
Dhaka,Lalmatia(Dhaka),1207,69,,
Dhaka,Mirpur DOHS(Mirpur-12),1216,69,,
Dhaka,Kochukhet(Mirpur 14),1206,69,,
Dhaka,Gudaraghat (Badda Link Road),1212,69,,
Dhaka,Agargaon(Dhaka),1216,69,,
Dhaka,Monipur(60-feet),1216,69,,
Dhaka,Sher-e-Bangla Agricultural University,1205,69,,
Dhaka,Ibrahimpur(Mirpur 14),1206,69,,
Dhaka,Kakoli(Banani),1212,69,,
Dhaka,Balughat Bazar Road(Mirpur),1216,69,,
Dhaka,North Kafrul(Mirpur),1206,69,,
Dhaka,Vashantek(Mirpur),1206,69,,
Dhaka,Manikdi(Vasantek-Mirpur),1216,69,,
Dhaka,Matikata(Mirpur),1216,69,,
Dhaka,Bangladesh Army Headquerters(Dhaka Cantonment),1212,69,,
Dhaka,Rupnagar Residential(Mirpur 7),1216,69,,
Dhaka,Duaripara-Pallabi(Mirpur 12),1216,69,,
Dhaka,Dhaka Dental College(Mirpur 14),1216,69,,
Dhaka,Bagbari (Dhaka),1216,69,,
Dhaka,Mazar Road (Mirpur),1216,69,,
Dhaka,Shagufta(Mirpur),1216,69,,
Dhaka,Bawnia Bazar(Uttara),1230,69,,
Dhaka,Baigertek-ECB(Mirpur),1216,69,,
Dhaka,Madina nagar(Mirpur 11),1216,69,,
Dhaka,Chuti Ghor Road (Nikunjo-Khilkhet),1229,69,,
Dhaka,Mastertek-Manikdi(Mirpur),1216,69,,
Dhaka,Balughat(Mirpur),1216,69,,
Dhaka,Barontek-Balughat(Mirpur),1216,69,,
Dhaka,Golartek(Mirpur),1216,69,,
Dhaka,Uttar Para (Khilkhet),1229,69,,
Dhaka,Shewra (Kuril-Dhaka),1229,69,,
Dhaka,Ainusbag(Dakshinkhan),1230,69,,
Dhaka,Uttarkhan(Dhaka),1230,69,,
Dhaka,Dakshinkhan(Dhaka),1230,69,,
Dhaka,TIC Colony(Uttara Sector-6),1230,69,,
Dhaka,Askona(Dhaka),1230,69,,
Dhaka,Tolna (Khikhet),1229,69,,
Dhaka,Moddho Para (Khilkhet),1229,69,,
Dhaka,Nikunja(Dhaka),1229,69,,
Dhaka,Moddhopara(Dakshinkhan),1230,69,,
Dhaka,Hajipara (Rampura),1219,69,,
Dhaka,Kawla(Dhaka),1230,69,,
Dhaka,Naddapara (Dakshinkhan),1230,69,,
Dhaka,Bashundhara R/A (Basundhara),1229,69,,
Dhaka,Dorji Bari (Khilkhet),1229,69,,
Dhaka,Nadda (Baridhara),1229,69,,
Dhaka,Baridhara Diplomatic Zone,1212,69,,
Dhaka,Baridhara DOHS,1212,69,,
Dhaka,Notun Bazar (Vatara),1229,69,,
Dhaka,Adarsha Nagar (Middle Badda),1212,69,,
Dhaka,Jhilpar (Shahajadpur),1212,69,,
Dhaka,Uttor Badda,1212,69,,
Dhaka,Middle Badda,1212,69,,
Dhaka,South Badda,1212,69,,
Dhaka,Merul Badda,1212,69,,
Dhaka,Niketon(Gulshan),1212,69,,
Dhaka,Banani Block A,1213,69,,
Dhaka,Banani DOHS,1213,69,,
Dhaka,Orion More(Tejgaon),1212,69,,
Dhaka,Mohakhali DOHS,1212,69,,
Dhaka,South Monipur(60-feet),1216,69,,
Dhaka,Shah ali bagh(Mirpur-1),1216,69,,
Dhaka,GMG More(Tejgaon),1212,69,,
Dhaka,Bashtola(Natun Bazar),1229,69,,
Dhaka,DIT Project (Merul Badda),1212,69,,
Dhaka,Aftabnagar(Dhaka),1212,69,,
Dhaka,Bijoy Shoroni(Dhaka),1215,69,,
Dhaka,Farmgate(Dhaka),1215,69,,
Dhaka,Indira Road(Firmgate),1215,69,,
Dhaka,Love Road (Tejgoan),1208,69,,
Dhaka,Tejkunipara(Farmgate),1215,69,,
Dhaka,Razabazar(Farmgate),1215,69,,
Dhaka,Sukrabad(Dhanmondi),1215,69,,
Dhaka,Panthopath(Dhaka),1205,69,,
Dhaka,Kalabagan(Dhaka),1205,69,,
Dhaka,Green Road(Dhaka),1205,69,,
Dhaka,Manik Mia Avenue(Dhaka),1225,69,,
Dhaka,Asad Avenue(Dhaka),1207,69,,
Dhaka,Jigatola(Dhanmondi),1209,69,,
Dhaka,Shankar (West Dhanmondi),1209,69,,
Dhaka,Rayer Bazar(Mohammadpur),1209,69,,
Dhaka,Tallabag(Dhanmondi),1209,69,,
Dhaka,Hazaribag(Dhaka),1209,69,,
Dhaka,Pilkhana(Dhaka),1209,69,,
Dhaka,Kellar Mor(Lalbagh-Dhaka),1320,69,,
Dhaka,New Market(Dhaka),1205,69,,
Dhaka,Azimpur(Dhaka),1205,69,,
Dhaka,Nilkhet(Dhaka),1205,69,,
Dhaka,Lalbagh(Dhaka),1211,69,,
Dhaka,Chawkbazar (Puran Dhaka),1100,69,,
Dhaka,Naya Bazar (Puran Dhaka),1100,69,,
Dhaka,Tatibazar (Puran Dhaka),1100,69,,
Dhaka,Luxmi Bazar (Puran Dhaka),1100,69,,
Dhaka,Tipu Sultan Road(Puran Dhaka),1100,69,,
Dhaka,Siddique Bazar (Puran Dhaka),1100,69,,
Dhaka,Tikatuly (Dhaka),1203,69,,
Dhaka,Motijheel(Dhaka),1223,69,,
Dhaka,Nawabpur (Puran Dhaka),1100,69,,
Dhaka,Kaptan Bazar (Puran Dhaka),1100,69,,
Dhaka,Gulistan(Dhaka),1100,69,,
Dhaka,Bongo Bazar(Puran Dhaka),1100,69,,
Dhaka,Chankarpul(Puran Dhaka),1100,69,,
Dhaka,Palashi(Dhaka),1211,69,,
Dhaka,Dhakeshwari(Dhaka),1211,69,,
Dhaka,Kamalapur(Dhaka),1222,69,,
Dhaka,Wari (Puran Dhaka),1100,69,,
Dhaka,Narinda (Puran Dhaka),1100,69,,
Dhaka,Dainik Bangla Mor(Paltan),1000,69,,
Dhaka,Fakirapul (Dhaka),1000,69,,
Dhaka,Kakrail (Dhaka),1217,69,,
Dhaka,Naya Paltan (Dhaka),1000,69,,
Dhaka,Bijoynagar (Paltan),1000,69,,
Dhaka,Press Club (Dhaka),1000,69,,
Dhaka,High Court (Dhaka),1000,69,,
Dhaka,Dhaka University,1205,69,,
Dhaka,Dhaka Medical College,1100,69,,
